City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,San Quintin,MX,75.09,clear sky,30.48,-115.95,Old Mill Hotel
273,Bastia,FR,75.0,few clouds,42.67,9.33,Hotel Santa Maria
280,Nueva Gerona,CU,83.64,broken clouds,21.88,-82.8,Casa de la Alegria
281,Iralaya,HN,81.03,broken clouds,15.0,-83.23,Iglesia morava renovada
284,Bulalacao,PH,85.53,overcast clouds,12.33,121.34,By The Sea Hotels
286,Rabkavi,IN,78.78,overcast clouds,16.47,75.1,ADITYA HOTEL N-VEG
288,Sur,OM,84.09,broken clouds,22.57,59.53,Sur Plaza Hotel
291,Puri,IN,84.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
293,Goderich,CA,75.99,overcast clouds,43.75,-81.72,Harmony Inn
294,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Mystic Sands
297,Vavuniya,LK,89.28,broken clouds,8.75,80.5,Thampa Hotel
298,Port Arthur,CN,78.8,scattered clouds,38.8,121.27,Friendship Hotel
299,Thongwa,MM,80.6,overcast clouds,16.76,96.53,Mhaw Wun Marlar Park
304,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
306,Bandarbeyla,SO,78.69,broken clouds,9.49,50.81,REER XOOSHLE GROUP
311,Vanimo,PG,87.13,few clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
312,Katsuura,JP,81.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
321,Sinjai,ID,83.59,scattered clouds,-5.12,120.25,Wisma Sandika
322,Guerrero Negro,MX,75.38,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
326,El Colomo,MX,80.74,scattered clouds,19.05,-104.25,Hm Hotel
327,Macapa,BR,80.6,thunderstorm,0.04,-51.07,Atalanta Hotel
328,Phangnga,TH,89.6,few clouds,8.45,98.53,Rattanapong Hotel
329,Coahuayana,MX,79.63,light rain,18.73,-103.68,Hotel Los Arcos
334,Kawalu,ID,85.66,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
335,Dickinson,US,75.2,clear sky,29.46,-95.05,Candlewood Suites League City
